FIPS Code,State Code,County Code,State Abbreviation,State Name,County Name,Population in 2010,Total Number of Congregations,Total Number of Adherents,"Rates of Adherence per 1,000 population",Evangelical Protestant Congregations,Evangelical Adherents,"Evangelical Rate of Adherence per 1,000 population",Black Protestant Congregations,Black Protestant Adherents,"Black Protestant Rate of Adherence per 1,000 population",Mainline Protestant Congregations,Mainline Protestant Adherents,"Mainline Protestant Rate of Adherence per 1,000 population",Catholic Congregations,Catholic Adherents,"Catholic Rate of Adherence per 1,000 population",UV Exposure in Meters Squared
1001,1,1,AL,Alabama,Autauga,54571.0,106.0,36938.0,676.8788889,79.0,27503.0,503.99,13.0,2291.0,41.97888889,12.0,4522.0,82.85888889,1.0,1766.0,32.35888889,4563
1003,1,3,AL,Alabama,Baldwin,182265.0,271.0,96918.0,531.74,178.0,57986.0,318.1388889,17.0,3130.0,17.17,48.0,20075.0,110.14,13.0,14009.0,76.85888889,4492
1005,1,5,AL,Alabama,Barbour,27457.0,89.0,15101.0,549.99,51.0,8793.0,320.25,21.0,3328.0,121.20888889999999,14.0,2140.0,77.93888889,1.0,575.0,20.94,4642
1009,1,9,AL,Alabama,Blount,57322.0,156.0,37352.0,651.62,122.0,29223.0,509.8,2.0,58.0,1.01,29.0,3035.0,52.95,1.0,4744.0,82.76,4416
1011,1,11,AL,Alabama,Bullock,10914.0,47.0,6300.0,577.24,15.0,2152.0,197.18,21.0,3445.0,315.6488889,9.0,601.0,55.07,1.0,49.0,4.49,4629
1013,1,13,AL,Alabama,Butler,20947.0,92.0,12278.0,586.1488889,63.0,8653.0,413.0888889,8.0,1657.0,79.09888889,17.0,1653.0,78.90888889,1.0,77.0,3.68,4579
1015,1,15,AL,Alabama,Calhoun,118572.0,281.0,84615.0,713.62,204.0,67564.0,569.8088888999999,24.0,5163.0,43.53888889,42.0,7066.0,59.59,4.0,3192.0,26.92,4466
1017,1,17,AL,Alabama,Chambers,34215.0,119.0,22251.0,650.33,62.0,12903.0,377.12,21.0,5780.0,168.93,33.0,3080.0,90.01888889,1.0,249.0,7.28,4584
1021,1,21,AL,Alabama,Chilton,43643.0,122.0,30488.0,698.58,98.0,26608.0,609.6688889,7.0,1116.0,25.57,14.0,1805.0,41.35888889,1.0,709.0,16.25,4529
1023,1,23,AL,Alabama,Choctaw,13859.0,83.0,9721.0,701.4188889,52.0,6080.0,438.69888889999993,16.0,2635.0,190.1288889,13.0,789.0,56.92888889,1.0,60.0,4.33,4476
1025,1,25,AL,Alabama,Clarke,25833.0,122.0,20470.0,792.3988889,77.0,13634.0,527.7688889,23.0,5098.0,197.34,16.0,1632.0,63.17888889,3.0,11.0,0.43,4488
1027,1,27,AL,Alabama,Clay,13932.0,69.0,10305.0,739.6588889,53.0,8899.0,638.75,2.0,181.0,12.99,12.0,1038.0,74.5,1.0,186.0,13.34888889,4518
1031,1,31,AL,Alabama,Coffee,49948.0,120.0,33021.0,661.11,91.0,25889.0,518.32,11.0,1320.0,26.42888889,13.0,3457.0,69.20888889,1.0,1550.0,31.03,4628
1033,1,33,AL,Alabama,Colbert,54428.0,140.0,37805.0,694.59,103.0,29759.0,546.7588889,18.0,3256.0,59.82,17.0,3368.0,61.88,1.0,1415.0,26.0,4408
1039,1,39,AL,Alabama,Covington,37765.0,126.0,23386.0,619.25,103.0,20052.0,530.97,6.0,677.0,17.92888889,13.0,2093.0,55.42,1.0,291.0,7.71,4597
1045,1,45,AL,Alabama,Dale,50251.0,109.0,24732.0,492.17,68.0,17979.0,357.77888889999997,9.0,1891.0,37.63,27.0,3712.0,73.87,1.0,278.0,5.53,4644
1047,1,47,AL,Alabama,Dallas,43820.0,140.0,26546.0,605.7988889,73.0,16764.0,382.5688889,34.0,6398.0,146.0088889,26.0,2438.0,55.64,2.0,536.0,12.23,4540
1051,1,51,AL,Alabama,Elmore,79303.0,141.0,37247.0,469.68,92.0,28235.0,356.04,13.0,1902.0,23.98,30.0,5902.0,74.42,2.0,677.0,8.538888888999999,4588
1053,1,53,AL,Alabama,Escambia,38319.0,124.0,23014.0,600.59,88.0,17917.0,467.56888889999993,10.0,2164.0,56.46888889,18.0,1849.0,48.25,2.0,530.0,13.83,4535
1055,1,55,AL,Alabama,Etowah,104430.0,256.0,84006.0,804.4188889,193.0,64316.0,615.8788889,21.0,4813.0,46.09,35.0,5816.0,55.68888889,1.0,7624.0,73.01,4422
1057,1,57,AL,Alabama,Fayette,17241.0,94.0,11039.0,640.2788889,76.0,9490.0,550.4288889,4.0,541.0,31.37888889,11.0,795.0,46.10888889,1.0,90.0,5.218888889,4449
1059,1,59,AL,Alabama,Franklin,31704.0,102.0,20416.0,643.96,89.0,16733.0,527.7888889,4.0,526.0,16.58888889,6.0,1195.0,37.68888889,1.0,1487.0,46.89888889,4415
1061,1,61,AL,Alabama,Geneva,26790.0,102.0,16488.0,615.45,69.0,12807.0,478.05,9.0,1156.0,43.14888889,20.0,1960.0,73.15888889,1.0,50.0,1.87,4638
1063,1,63,AL,Alabama,Greene,9045.0,28.0,2425.0,268.1,12.0,1134.0,125.37,7.0,857.0,94.75,8.0,375.0,41.46,1.0,37.0,4.088888889,4484
1065,1,65,AL,Alabama,Hale,15760.0,69.0,9531.0,604.7588889,25.0,4362.0,276.77888889999997,24.0,3493.0,221.63888889999998,16.0,1386.0,87.93888889,1.0,25.0,1.59,4493
1069,1,69,AL,Alabama,Houston,101547.0,210.0,81059.0,798.24,152.0,60486.0,595.6488889,18.0,3855.0,37.96,31.0,12245.0,120.5788889,1.0,2551.0,25.12,4658
